Symbol,HOLDINGS,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
QMCO,Quantum Corp,<0.01%,"Technology Hardware, Storage & Peripherals",US,---,"$1,757,218.88 ","177,139"
WFCF,Where Food Comes From Inc,<0.01%,Research & Consulting Services,US,---,"$1,750,517.50 ","130,150"
BOTJ,Bank of the James Financial Group Inc,<0.01%,Regional Banks,US,---,"$1,743,253.20 ","111,747"
CODA,Coda Octopus Group Inc,<0.01%,Electronic Equipment & Instruments,US,---,"$1,733,408.03 ","216,001"
DLHC,DLH Holdings Corp,<0.01%,Human Resource & Employment Services,US,---,"$1,727,419.70 ","305,738"
UEIC,Universal Electronics Inc,<0.01%,Consumer Electronics,US,---,"$1,727,089.20 ","370,620"
HOWL,Werewolf Therapeutics Inc,<0.01%,Biotechnology,US,---,"$1,726,878.36 ","876,588"
CLYM,Climb Bio Inc,<0.01%,Biotechnology,US,---,"$1,723,731.78 ","857,578"
TELA,Tela Bio Inc,<0.01%,Health Care Supplies,US,---,"$1,718,101.12 ","1,153,088"
ORGN,Origin Materials Inc,<0.01%,Commodity Chemicals,US,---,"$1,713,164.50 ","3,303,441"
VTSI,VirTra Inc,<0.01%,Aerospace & Defense,US,---,"$1,711,146.38 ","325,313"
SACH,Sachem Capital Corp,<0.01%,Mortgage REITs,US,---,"$1,703,407.11 ","1,534,601"
QNCX,Quince Therapeutics Inc,<0.01%,Biotechnology,US,---,"$1,703,061.49 ","1,044,823"
ATRA,Atara Biotherapeutics Inc,<0.01%,Biotechnology,US,---,"$1,686,440.38 ","117,686"
CVGI,Commercial Vehicle Group Inc,<0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$1,676,611.40 ","986,242"
CCLD,CareCloud Inc,<0.01%,Health Care Technology,US,---,"$1,668,956.04 ","519,924"
ACET,Adicet Bio Inc,<0.01%,Biotechnology,US,---,"$1,642,908.17 ","2,027,781"
SNCR,Synchronoss Technologies Inc,<0.01%,Application Software,US,---,"$1,641,764.16 ","270,027"
DTIL,Precision BioSciences Inc,<0.01%,Biotechnology,US,---,"$1,636,630.32 ","296,491"
SGA,Saga Communications Inc,<0.01%,Broadcasting,US,---,"$1,632,239.96 ","131,209"
GAME,GameSquare Holdings Inc,<0.01%,Interactive Media & Services,US,---,"$1,632,087.71 ","2,404,372"
FSEA,First Seacoast Bancorp Inc,<0.01%,Regional Banks,US,---,"$1,616,014.50 ","140,523"
