Symbol,HOLDINGS,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
KZR,Kezar Life Sciences Inc,<0.01%,Biotechnology,US,---,"$724,982.70 ","185,893"
KOSS,Koss Corp,<0.01%,Consumer Electronics,US,---,"$724,103.20 ","142,540"
SOTK,Sono-Tek Corp,<0.01%,Electronic Equipment & Instruments,US,---,"$711,724.16 ","158,867"
MDAI,Spectral AI Inc,<0.01%,Health Care Equipment,US,---,"$710,644.08 ","311,686"
HHS,Harte Hanks Inc,<0.01%,Advertising,US,---,"$704,495.61 ","189,891"
UG,United-Guardian Inc,<0.01%,Personal Care Products,US,---,"$704,059.20 ","90,264"
VRAR,Glimpse Group Inc/The,<0.01%,IT Consulting & Other Services,US,---,"$701,592.00 ","427,800"
ELUT,Elutia Inc,<0.01%,Biotechnology,US,---,"$699,381.18 ","785,645"
DAIO,Data I/O Corp,<0.01%,Electronic Manufacturing Services,US,---,"$697,328.54 ","208,781"
ECOR,ElectroCore Inc,<0.01%,Health Care Equipment,US,---,"$696,465.00 ","140,700"
TBHC,Brand House Collective Inc/The,<0.01%,Homefurnishing Retail,US,---,"$696,192.56 ","427,112"
AIRT,Air T Inc,<0.01%,Air Freight & Logistics,US,---,"$694,260.00 ","30,856"
DYAI,Dyadic International Inc,<0.01%,Biotechnology,US,---,"$688,679.86 ","583,627"
CBUS,Cibus Inc,<0.01%,Biotechnology,US,---,"$682,861.50 ","529,350"
OESX,Orion Energy Systems Inc,<0.01%,Electrical Components & Equipment,US,---,"$680,828.52 ","77,898"
SER,Serina Therapeutics Inc,<0.01%,Biotechnology,US,---,"$674,314.80 ","125,805"
DTI,Drilling Tools International Corp,<0.01%,Oil & Gas Equipment & Services,US,---,"$667,869.40 ","290,378"
MKTW,MarketWise Inc,<0.01%,Financial Exchanges & Data,US,---,"$660,109.02 ","39,934"
MLSS,Milestone Scientific Inc,<0.01%,Health Care Equipment,US,---,"$659,073.91 ","1,450,746"
DXR,Daxor Corp,<0.01%,Health Care Equipment,US,---,"$652,048.20 ","47,980"
IPSC,Century Therapeutics Inc,<0.01%,Biotechnology,US,---,"$640,678.49 ","1,286,503"
CAMP,CAMP4 Therapeutics Corp,<0.01%,Biotechnology,US,---,"$640,224.00 ","213,408"
TRT,Trio-Tech International,<0.01%,Semiconductor Materials & Equipment,US,---,"$629,588.10 ","106,170"
IMDX,Insight Molecular Diagnostics Inc,<0.01%,Biotechnology,US,---,"$619,601.64 ","186,627"
CVV,CVD Equipment Corp,<0.01%,Semiconductor Materials & Equipment,US,---,"$613,478.88 ","182,583"
NEPH,Nephros Inc,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$610,174.73 ","129,001"
XLO,Xilio Therapeutics Inc,<0.01%,Biotechnology,US,---,"$609,899.91 ","723,745"
POCI,Precision Optics Corp Inc/Mass,<0.01%,Health Care Equipment,US,---,"$608,808.60 ","139,956"
MODD,Modular Medical Inc,<0.01%,Health Care Equipment,US,---,"$600,363.32 ","857,907"
TVGN,Tevogen Bio Holdings Inc,<0.01%,Biotechnology,US,---,"$592,987.88 ","755,110"
SCWO,374Water Inc,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$588,849.34 ","2,052,455"
NTIP,Network-1 Technologies Inc,<0.01%,Communications Equipment,US,---,"$588,061.50 ","392,041"
PASG,Passage Bio Inc,<0.01%,Biotechnology,US,---,"$586,572.30 ","73,230"
CLNN,Clene Inc,<0.01%,Biotechnology,US,---,"$563,409.80 ","93,512"
GTIM,Good Times Restaurants Inc,<0.01%,Restaurants,US,---,"$563,239.96 ","343,439"
ASST,Strive Inc,<0.01%,Asset Management & Custody Banks,US,---,"$552,432.50 ","220,973"
BOLD,Boundless Bio Inc,<0.01%,Biotechnology,US,---,"$547,572.63 ","445,181"
VRCA,Verrica Pharmaceuticals Inc,<0.01%,Pharmaceuticals,US,---,"$547,451.89 ","127,019"
WVVI,Willamette Valley Vineyards Inc,<0.01%,Distillers & Vintners,US,---,"$542,989.72 ","149,173"
HBIO,Harvard Bioscience Inc,<0.01%,Life Sciences Tools & Services,US,---,"$541,419.02 ","1,234,707"
CRD/A,Crawford & Co,<0.01%,Insurance Brokers,US,---,"$536,177.00 ","50,110"
KLRS,Kalaris Therapeutics Inc,<0.01%,Biotechnology,US,---,"$530,760.06 ","91,827"
OPI,Office Properties Income Trust,<0.01%,Office REITs,US,---,"$528,662.61 ","1,605,901"
GOCO,GoHealth Inc,<0.01%,Insurance Brokers,US,---,"$526,016.24 ","109,132"
SNTI,Senti Biosciences Inc,<0.01%,Biotechnology,US,---,"$520,117.98 ","368,878"
AVBH,Avidbank Holdings Inc,<0.01%,Regional Banks,US,---,"$518,338.50 ","20,327"
LITS,Lite Strategy Inc,<0.01%,Biotechnology,US,---,"$516,440.10 ","213,405"
UONEK,Urban One Inc,<0.01%,Broadcasting,US,---,"$513,897.58 ","693,519"
RBOT,Vicarious Surgical Inc,<0.01%,Health Care Equipment,US,---,"$512,672.44 ","93,044"
CLSD,Clearside Biomedical Inc,<0.01%,Pharmaceuticals,US,---,"$510,414.96 ","128,568"
BODI,Beachbody Co Inc/The,<0.01%,Specialized Consumer Services,US,---,"$508,484.76 ","86,477"
DARE,Dare Bioscience Inc,<0.01%,Pharmaceuticals,US,---,"$504,531.30 ","240,253"
TCBS,Texas Community Bancshares Inc,<0.01%,Regional Banks,US,---,"$502,942.80 ","31,336"
LSTA,Lisata Therapeutics Inc,<0.01%,Biotechnology,US,---,"$501,392.02 ","191,371"
NVNO,enVVeno Medical Corp,<0.01%,Health Care Equipment,US,---,"$499,863.66 ","551,665"
DTST,Data Storage Corp,<0.01%,Internet Services & Infrastructure,US,---,"$499,361.76 ","115,593"
KORE,KORE Group Holdings Inc,<0.01%,Wireless Telecommunication Services,US,---,"$498,200.56 ","205,868"
NNVC,NanoViricides Inc,<0.01%,Biotechnology,US,---,"$492,858.08 ","344,656"
TOMZ,TOMI Environmental Solutions Inc,<0.01%,Environmental & Facilities Services,US,---,"$488,532.09 ","474,303"
LGL,LGL Group Inc/The,<0.01%,Electronic Components,US,---,"$484,420.56 ","72,605"
USEG,US Energy Corp,<0.01%,Oil & Gas Exploration & Production,US,---,"$480,853.54 ","407,503"
BAFN,Bayfirst Financial Corp,<0.01%,Regional Banks,US,---,"$479,099.38 ","45,803"
PED,PEDEVCO Corp,<0.01%,Oil & Gas Exploration & Production,US,---,"$478,373.19 ","827,349"
LNAI,Lunai Bioworks Inc,<0.01%,Biotechnology,US,---,"$464,399.50 ","327,041.90"
IRIX,IRIDEX Corp,<0.01%,Health Care Equipment,US,---,"$462,129.80 ","401,852"
NAII,Natural Alternatives International Inc,<0.01%,Personal Care Products,US,---,"$461,230.50 ","159,045"
BDL,Flanigan's Enterprises Inc,<0.01%,Restaurants,US,---,"$460,761.64 ","14,453"
CVKD,Cadrenal Therapeutics Inc,<0.01%,Pharmaceuticals,US,---,"$458,404.45 ","33,278"
SABS,SAB Biotherapeutics Inc,<0.01%,Biotechnology,US,---,"$457,461.93 ","227,593"
CLIR,ClearSign Technologies Corp,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$455,211.60 ","590,264"
NUKK,Nukkleus Inc,<0.01%,Application Software,US,---,"$454,482.00 ","64,926"
PPSI,Pioneer Power Solutions Inc,<0.01%,Heavy Electrical Equipment,US,---,"$453,016.80 ","104,865"
JRSH,Jerash Holdings US Inc,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$440,135.72 ","132,571"
RVPH,Reviva Pharmaceuticals Holdings Inc,<0.01%,Pharmaceuticals,US,---,"$439,428.33 ","1,192,155"
CCEL,Cryo-Cell International Inc,<0.01%,Health Care Services,US,---,"$439,352.32 ","94,688"
ARMP,Armata Pharmaceuticals Inc,<0.01%,Biotechnology,US,---,"$437,696.44 ","146,878"
FBLG,Fibrobiologics Inc,<0.01%,Biotechnology,US,---,"$435,829.91 ","797,931"
ATHA,Athira Pharma Inc,<0.01%,Pharmaceuticals,US,---,"$434,571.66 ","104,969"
CODX,Co-Diagnostics Inc,<0.01%,Health Care Equipment,US,---,"$429,563.46 ","1,248,731"
BELFA,Bel Fuse Inc,<0.01%,Electronic Components,US,---,"$412,926.15 ","3,549"
LPCN,Lipocine Inc,<0.01%,Pharmaceuticals,US,---,"$408,330.78 ","142,773"
ASPSW,ALTISOURCE PORTFOLIO - 30,<0.01%,Real Estate Services,US,---,"$407,909.60 ","582,728"
ARKR,Ark Restaurants Corp,<0.01%,Restaurants,US,---,"$407,632.30 ","57,413"
TCI,Transcontinental Realty Investors Inc,<0.01%,Real Estate Operating Companies,US,---,"$406,866.60 ","8,820"
FLNT,Fluent Inc,<0.01%,Advertising,US,---,"$402,019.80 ","181,090"
MXC,Mexco Energy Corp,<0.01%,Oil & Gas Exploration & Production,US,---,"$399,856.26 ","43,651"
HYFM,Hydrofarm Holdings Group Inc,<0.01%,Agricultural & Farm Machinery,US,---,"$398,951.98 ","121,262"
MOBX,Mobix Labs Inc,<0.01%,Semiconductors,US,---,"$388,908.59 ","482,457"
CREX,Creative Realities Inc,<0.01%,Advertising,US,---,"$382,008.64 ","166,816"
LOCL,Local Bounti Corp,<0.01%,Agricultural Products & Services,US,---,"$381,021.68 ","127,432"
BRID,Bridgford Foods Corp,<0.01%,Packaged Foods & Meats,US,---,"$379,326.08 ","47,744"
NINE,Nine Energy Service Inc,<0.01%,Oil & Gas Equipment & Services,US,---,"$376,738.78 ","596,200"
SGRP,SPAR Group Inc,<0.01%,Advertising,US,---,"$372,143.12 ","361,304"
QTTB,Q32 Bio Inc,<0.01%,Biotechnology,US,---,"$369,695.70 ","186,715"
SI,Shoulder Innovations Inc,<0.01%,Health Care Equipment,US,---,"$365,129.70 ","29,094"
NERV,Minerva Neurosciences Inc,<0.01%,Biotechnology,US,---,"$364,735.40 ","172,045"
NCSM,NCS Multistage Holdings Inc,<0.01%,Oil & Gas Equipment & Services,US,---,"$359,717.70 ","7,045"
CRIS,Curis Inc,<0.01%,Biotechnology,US,---,"$357,894.34 ","215,599"
CXAI,CXApp Inc,<0.01%,Application Software,US,---,"$356,741.17 ","484,045"
FCUV,Focus Universal Inc,<0.01%,Electronic Equipment & Instruments,US,---,"$353,722.43 ","116,165"
GENK,GEN Restaurant Group Inc,<0.01%,Restaurants,US,---,"$350,124.50 ","127,318"
ASPSZ,ALTISOURCE PORTFOLIO - 29C,<0.01%,Real Estate Services,US,---,"$348,121.71 ","582,728"
FAT,FAT Brands Inc,<0.01%,Restaurants,US,---,"$347,579.70 ","178,246"
RVP,Retractable Technologies Inc,<0.01%,Health Care Supplies,US,---,"$347,074.93 ","412,203"
TZUP,Thumzup Media Corp,<0.01%,Application Software,US,---,"$338,110.00 ","67,622"
MURA,Mural Oncology PLC,<0.01%,Biotechnology,US,---,"$336,536.46 ","162,578"
LPTX,Leap Therapeutics Inc,<0.01%,Biotechnology,US,---,"$335,321.68 ","738,594"
ANY,Sphere 3D Corp,<0.01%,Application Software,US,---,"$323,745.39 ","440,410"
ESLA,Estrella Immunopharma Inc,<0.01%,Biotechnology,US,---,"$318,925.95 ","268,005"
AYTU,Aytu BioPharma Inc,<0.01%,Pharmaceuticals,US,---,"$317,720.00 ","169,000"
RLYB,Rallybio Corp,<0.01%,Biotechnology,US,---,"$317,247.73 ","635,767"
TLF,Tandy Leather Factory Inc,<0.01%,Apparel Retail,US,---,"$315,062.43 ","103,981"
RENT,Rent the Runway Inc,<0.01%,Other Specialty Retail,US,---,"$311,960.54 ","63,278"
MTEX,Mannatech Inc,<0.01%,Personal Care Products,US,---,"$308,662.24 ","31,432"
BRN,Barnwell Industries Inc,<0.01%,Oil & Gas Exploration & Production,US,---,"$308,484.80 ","237,296"
RAVE,Rave Restaurant Group Inc,<0.01%,Restaurants,US,---,"$305,612.30 ","92,330"
TAIT,Taitron Components Inc,<0.01%,Technology Distributors,US,---,"$304,759.76 ","122,887"
SWAG,Stran & Co Inc,<0.01%,Advertising,US,---,"$297,385.68 ","179,148"
ANEB,Anebulo Pharmaceuticals Inc,<0.01%,Pharmaceuticals,US,---,"$296,030.00 ","118,412"
NXTC,NextCure Inc,<0.01%,Biotechnology,US,---,"$293,339.88 ","50,058"
CVR,Chicago Rivet & Machine Co,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$288,221.45 ","27,581"
UBCP,United Bancorp Inc/OH,<0.01%,Regional Banks,US,---,"$282,431.49 ","20,217"
SMXT,SolarMax Technology Inc,<0.01%,Electrical Components & Equipment,US,---,"$282,172.80 ","268,736"
LSF,Laird Superfood Inc,<0.01%,Packaged Foods & Meats,US,---,"$281,717.46 ","50,487"
SOND,Sonder Holdings Inc,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$281,640.28 ","221,764"
SOHO,Sotherly Hotels Inc,<0.01%,Hotel & Resort REITs,US,---,"$280,825.54 ","346,741"
IPM,Intelligent Protection Management Corp,<0.01%,Interactive Media & Services,US,---,"$277,813.95 ","139,605"
REFR,Research Frontiers Inc,<0.01%,Electronic Equipment & Instruments,US,---,"$276,001.74 ","173,586"
AMS,American Shared Hospital Services,<0.01%,Health Care Services,US,---,"$274,610.00 ","98,075"
LGVN,Longeveron Inc,<0.01%,Biotechnology,US,---,"$271,011.13 ","361,300"
FPAY,FlexShopper Inc,<0.01%,Specialized Finance,US,---,"$266,713.69 ","416,090"
BATL,Battalion Oil Corp,<0.01%,Oil & Gas Exploration & Production,US,---,"$264,564.08 ","218,648"
VGAS,Verde Clean Fuels Inc,<0.01%,Oil & Gas Refining & Marketing,US,---,"$264,154.40 ","86,608"
SIDU,Sidus Space Inc,<0.01%,Aerospace & Defense,US,---,"$263,158.48 ","253,037"
PIII,P3 Health Partners Inc,<0.01%,Health Care Services,US,---,"$260,326.44 ","28,358"
TXMD,TherapeuticsMD Inc,<0.01%,Pharmaceuticals,US,---,"$258,976.02 ","244,317"
BTOC,Armlogi Holding Corp,<0.01%,Cargo Ground Transportation,US,---,"$257,005.60 ","321,257"
RANI,Rani Therapeutics Holdings Inc,<0.01%,Pharmaceuticals,US,---,"$253,702.48 ","507,608"
GWH,ESS Tech Inc,<0.01%,Electrical Components & Equipment,US,---,"$246,662.56 ","162,278"
COCP,Cocrystal Pharma Inc,<0.01%,Pharmaceuticals,US,---,"$234,082.50 ","187,266"
SYBX,Synlogic Inc,<0.01%,Biotechnology,US,---,"$230,629.23 ","136,467"
INLX,Intellinetics Inc,<0.01%,Systems Software,US,---,"$224,589.75 ","19,445"
FEAM,5E Advanced Materials Inc,<0.01%,Diversified Metals & Mining,US,---,"$222,511.93 ","63,757"
FEMY,Femasys Inc,<0.01%,Health Care Equipment,US,---,"$218,298.06 ","619,461"
AIRE,reAlpha Tech Corp,<0.01%,Application Software,US,---,"$217,940.75 ","284,147"
XOS,Xos Inc,<0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$215,017.20 ","79,636"
VEEA,Veea Inc,<0.01%,Application Software,US,---,"$214,662.38 ","343,900"
COCH,Envoy Medical Inc,<0.01%,Health Care Equipment,US,---,"$211,816.52 ","273,065"
INKT,MiNK Therapeutics Inc,<0.01%,Biotechnology,US,---,"$209,860.00 ","14,990"
IPW,iPower Inc,<0.01%,Trading Companies & Distributors,US,---,"$207,917.33 ","401,695"
UAVS,AgEagle Aerial Systems Inc,<0.01%,Agricultural & Farm Machinery,US,---,"$201,844.20 ","100,420"
LVLU,Lulu's Fashion Lounge Holdings Inc,<0.01%,Apparel Retail,US,---,"$196,359.52 ","41,252"
CLRB,Cellectar Biosciences Inc,<0.01%,Biotechnology,US,---,"$195,955.20 ","34,992"
ISPO,Inspirato Inc,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$191,186.40 ","64,590"
SIF,SIFCO Industries Inc,<0.01%,Aerospace & Defense,US,---,"$188,596.86 ","26,784"
APRE,Aprea Therapeutics Inc,<0.01%,Biotechnology,US,---,"$186,984.28 ","126,769"
SHFS,SHF Holdings Inc,<0.01%,Specialized Finance,US,---,"$184,713.68 ","25,798"
WKSP,Worksport Ltd,<0.01%,Automotive Parts & Equipment,US,---,"$180,766.18 ","52,094"
JCTC,Jewett-Cameron Trading Co Ltd,<0.01%,Building Products,US,---,"$179,447.40 ","52,470"
KALA,KALA BIO Inc,<0.01%,Biotechnology,US,---,"$172,848.69 ","112,973"
DLPN,Dolphin Entertainment Inc,<0.01%,Movies & Entertainment,US,---,"$170,277.42 ","131,998"
AGAE,Allied Gaming & Entertainment Inc,<0.01%,Leisure Facilities,US,---,"$169,830.38 ","184,779"
MRKR,Marker Therapeutics Inc,<0.01%,Biotechnology,US,---,"$162,207.74 ","181,725"
FUSB,First US Bancshares Inc,<0.01%,Regional Banks,US,---,"$156,839.23 ","12,679"
GIFT,Giftify Inc,<0.01%,Interactive Media & Services,US,---,"$152,856.24 ","144,204"
BCG,Binah Capital Group Inc,<0.01%,Asset Management & Custody Banks,US,---,"$140,857.68 ","81,894"
BFRG,Bullfrog AI Holdings Inc,<0.01%,Health Care Technology,US,---,"$130,631.20 ","93,308"
DHAI,DIH Holdings US Inc,<0.01%,Health Care Equipment,US,---,"$128,492.94 ","687,128"
LYRA,Lyra Therapeutics Inc,<0.01%,Pharmaceuticals,US,---,"$128,017.34 ","19,426"
FLYX,flyExclusive Inc,<0.01%,Passenger Airlines,US,---,"$126,780.16 ","25,664"
BOLT,Bolt Biotherapeutics Inc,<0.01%,Biotechnology,US,---,"$123,940.04 ","23,297"
ZEO,Zeo Energy Corp,<0.01%,Electrical Components & Equipment,US,---,"$122,732.55 ","90,913"
SST,System1 Inc,<0.01%,Interactive Media & Services,US,---,"$120,165.76 ","17,069"
MPTI/WS,M-TRON INDUSTRIES INC -28,<0.01%,Electronic Components,US,---,"$115,451.00 ","65,972"
PODC,PodcastOne Inc,<0.01%,Movies & Entertainment,US,---,"$99,466.08 ","59,206"
XAIR,Beyond Air Inc,<0.01%,Health Care Equipment,US,---,"$99,403.92 ","43,032"
NXGL,Nexgel Inc,<0.01%,Health Care Supplies,US,---,"$97,846.44 ","40,101"
ELSE,Electro-Sensors Inc,<0.01%,Electronic Equipment & Instruments,US,---,"$95,848.56 ","20,052"
ATER,Aterian Inc,<0.01%,Household Appliances,US,---,"$93,140.25 ","88,705"
BIVI,BioVie Inc,<0.01%,Biotechnology,US,---,"$88,570.40 ","46,616"
MSS,Maison Solutions Inc,<0.01%,Food Retail,US,---,"$85,903.56 ","75,354"
NSYS,Nortech Systems Inc,<0.01%,Electronic Manufacturing Services,US,---,"$84,538.59 ","9,179"
MSAI,MultiSensor AI Holdings Inc,<0.01%,Electronic Equipment & Instruments,US,---,"$83,255.96 ","129,079"
FGNX,FG Nexus Inc,<0.01%,Property & Casualty Insurance,US,---,"$81,811.98 ","14,902"
VIVK,Vivakor Inc,<0.01%,Oil & Gas Storage & Transportation,US,---,"$81,345.22 ","193,633"
BNAI,Brand Engagement Network Inc,<0.01%,IT Consulting & Other Services,US,---,"$77,588.95 ","263,908"
SHOT,Safety Shot Inc,<0.01%,Personal Care Products,US,---,"$77,441.01 ","288,959"
ARTV,Artiva Biotherapeutics Inc,<0.01%,Biotechnology,US,---,"$75,406.38 ","26,274"
INAB,IN8bio Inc,<0.01%,Biotechnology,US,---,"$67,422.62 ","31,070.33"
SPAI,Safe Pro Group Inc,<0.01%,Aerospace & Defense,US,---,"$67,328.82 ","9,591"
GLBZ,Glen Burnie Bancorp,<0.01%,Regional Banks,US,---,"$64,455.20 ","14,012"
KFFB,Kentucky First Federal Bancorp,<0.01%,Regional Banks,US,---,"$62,464.64 ","16,352"
SNYR,Synergy CHC Corp,<0.01%,Personal Care Products,US,---,"$53,096.84 ","21,761"
UONE,Urban One Inc,<0.01%,Broadcasting,US,---,"$52,785.00 ","38,250"
COHN,Cohen & Co Inc,<0.01%,Diversified Capital Markets,US,---,"$50,612.62 ","4,516"
FATBB,FAT Brands Inc,<0.01%,Restaurants,US,---,"$46,186.85 ","17,429"
NXPL,NextPlat Corp,<0.01%,Alternative Carriers,US,---,"$37,149.72 ","44,512"
1843576D,MIRAGEN THERAPEUTICS INC - CVR,<0.01%,Biotechnology,US,---,"$35,060.82 ","1,753,041"
SNAL,Snail Inc,<0.01%,Interactive Home Entertainment,US,---,"$33,684.27 ","30,903"
MTVA,MetaVia Inc,<0.01%,Biotechnology,US,---,"$32,720.84 ","34,802"
NRXS,Neuraxis Inc,<0.01%,Health Care Equipment,US,---,"$30,855.44 ","10,018"
DRCT,Direct Digital Holdings Inc,<0.01%,Advertising,US,---,"$30,085.45 ","88,905"
SDST,Stardust Power Inc,<0.01%,Electrical Components & Equipment,US,---,"$28,520.00 ","9,200"
NYC,American Strategic Investment Co,<0.01%,Real Estate Operating Companies,US,---,"$25,450.81 ","2,538"
MIND,MIND Technology Inc,<0.01%,Oil & Gas Equipment & Services,US,---,"$25,087.09 ","3,101"
RMCO,Royalty Management Holding Corp,<0.01%,Environmental & Facilities Services,US,---,"$20,643.12 ","9,557"
KITT,Nauticus Robotics Inc,<0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$19,877.76 ","6,902"
CETY,Clean Energy Technologies Inc,<0.01%,Oil & Gas Storage & Transportation,US,---,"$15,338.76 ","53,858"
OSTX,OS Therapies Inc,<0.01%,Biotechnology,US,---,"$14,729.40 ","7,515"
AXIL,AXIL Brands Inc,<0.01%,Personal Care Products,US,---,"$12,511.80 ","1,986"
ATLN,Atlantic International Corp,<0.01%,Life Sciences Tools & Services,US,---,"$9,802.70 ","3,214"
YHGJ,Yunhong Green CTI Ltd,<0.01%,Housewares & Specialties,US,---,"$9,687.61 ","21,466"
CKX,CKX Lands Inc,<0.01%,Real Estate Operating Companies,US,---,"$9,257.34 ",831
SNES,Senestech Inc,<0.01%,Pharmaceuticals,US,---,"$8,341.00 ","1,900"
RGS,Regis Corp,<0.01%,Specialized Consumer Services,US,---,"$5,830.00 ",200
MIRA,Mira Pharmaceuticals Inc,<0.01%,Pharmaceuticals,US,---,"$5,317.60 ","3,910"
DWSN,Dawson Geophysical Co,<0.01%,Oil & Gas Equipment & Services,US,---,"$4,896.32 ","2,782"
CJMB,Callan Jmb Inc,<0.01%,Air Freight & Logistics,US,---,"$4,548.16 ",932
SQFTW,PRESIDIO PROPERTY TRST -CW27,<0.01%,Diversified REITs,US,---,"$3,574.34 ","110,319"
GTN/A,Gray Media Inc,<0.01%,Broadcasting,US,---,"$2,570.50 ",265
ADTI,Adapti Inc,<0.01%,---,US,---,"$1,662.70 ","1,279"
HYMCL,HYCROFT MINING HOLDING -CW25,<0.01%,Gold,US,---,"$1,240.00 ","155,000"
LGL/WS,LGL GROUP INC/THE -CW25,<0.01%,Electronic Components,US,---,$765.12 ,"2,391"
2223637D,ABIOMED INC-CVR,<0.01%,Health Care Equipment,US,---,$269.28 ,264
MGRX,Mangoceuticals Inc,<0.01%,Drug Retail,US,---,$219.00 ,100
ELVR,ELEVRA LITHIUM LTD,<0.01%,Diversified Metals & Mining,US,ADR,$24.01 ,1
SBT,Sterling Bancorp Inc/MI,<0.01%,Regional Banks,US,---,$10.49 ,"1,048,885"
RLMT,ReElement Technologies Corp,<0.01%,---,US,---,$6.97 ,"696,874"
ARAV,Aravive Inc,<0.01%,Biotechnology,US,---,$3.69 ,"368,501"
BTCSP,BTCS INC - SPIN OFF,<0.01%,---,US,---,$2.80 ,"280,193"
NOVS,Novusterra Inc,<0.01%,Coal & Consumable Fuels,US,---,$1.74 ,"174,215"
HYZN,Hyzon Motors Inc,<0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,$0.53 ,"52,830"
